,0
0,0
1,1
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,0
10,0
11,1
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,0
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,0
28,1
29,1
30,1
31,0
32,1
33,0
34,1
35,0
36,0
37,0
38,1
39,0
40,0
41,0
42,1
43,1
44,1
45,1
46,1
47,0
48,1
49,1
50,0
51,1
52,1
53,0
54,0
55,0
56,1
57,1
58,0
59,1
60,1
61,0
62,1
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,1
71,1
72,1
73,1
74,1
75,1
76,0
77,1
78,1
79,1
80,0
81,1
82,0
83,0
84,1
85,0
86,1
87,0
88,1
89,1
90,0
91,1
92,0
93,0
94,1
95,0
96,0
97,0
98,0
99,1
100,0
101,1
102,1
103,1
104,1
105,1
106,0
107,1
108,1
109,0
110,1
111,1
112,1
113,0
114,1
115,1
116,0
117,1
118,0
119,0
120,1
121,1
122,0
123,0
124,1
125,0
126,1
127,0
128,1
129,0
130,1
131,0
132,0
133,1
134,1
135,0
136,1
137,0
138,0
139,0
140,0
141,0
142,1
143,1
144,1
145,0
146,0
147,0
148,1
149,1
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,1
159,1
160,0
161,0
162,1
163,1
164,0
165,1
166,0
167,0
168,1
169,0
170,0
171,0
172,1
173,0
174,0
175,0
176,0
177,0
178,0
179,1
180,0
181,0
182,1
183,0
184,1
185,0
186,1
187,0
188,1
189,1
190,0
191,1
192,0
193,0
194,1
195,1
196,0
197,1
198,1
199,0
200,0
201,0
202,1
203,0
204,0
205,1
206,0
207,0
208,1
209,0
210,0
211,0
212,1
213,1
214,1
215,0
216,0
217,0
218,1
219,0
220,1
221,1
222,1
223,1
224,0
225,0
226,0
227,0
228,0
229,1
230,1
231,1
232,0
233,0
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,0
243,0
244,1
245,1
246,0
247,0
248,1
249,0
250,1
251,0
252,1
253,1
254,1
255,1
256,0
257,0
258,1
259,0
260,1
261,0
262,1
263,0
264,1
265,1
266,1
267,0
268,1
269,1
270,0
271,0
272,0
273,1
274,1
275,0
276,0
277,1
278,1
279,0
280,0
281,1
282,0
283,1
284,0
285,1
286,1
287,1
288,1
289,1
290,0
291,1
292,1
293,0
294,0
295,0
296,1
297,0
298,1
299,0
300,0
301,0
302,1
303,1
304,0
305,0
306,0
307,0
308,1
309,1
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,1
320,1
321,1
322,0
323,1
324,1
325,1
326,0
327,1
328,1
329,0
330,1
331,0
332,1
333,1
334,0
335,0
336,0
337,0
338,1
339,1
340,0
341,1
342,0
343,1
344,0
345,1
346,0
347,1
348,1
349,1
350,0
351,0
352,1
353,0
354,1
355,0
356,1
357,0
358,0
359,1
360,1
361,0
362,0
363,1
364,0
365,1
366,1
367,1
368,1
369,0
370,0
371,0
372,1
373,0
374,0
375,0
376,1
377,1
378,0
379,1
380,0
381,0
382,0
383,1
384,0
385,1
386,1
387,1
388,0
389,0
390,0
391,0
392,1
393,0
394,1
395,0
396,1
397,1
398,0
399,1
400,0
401,0
402,0
403,1
404,1
405,0
406,1
407,1
408,0
409,1
410,1
411,1
412,0
413,0
414,1
415,0
416,0
417,0
418,1
419,0
420,1
421,1
422,1
423,1
424,1
425,0
426,1
427,0
428,1
429,0
430,1
431,1
432,0
433,1
434,0
435,0
436,0
437,0
438,0
439,1
440,1
441,1
442,1
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,1
451,0
452,0
453,0
454,1
455,1
456,1
457,1
458,0
459,1
460,1
461,1
462,1
463,0
464,0
465,0
466,1
467,0
468,0
469,1
470,1
471,1
472,1
473,0
474,1
475,0
476,0
477,1
478,1
479,1
480,1
481,1
482,0
483,0
484,0
485,0
486,0
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,0
495,1
496,0
497,1
498,1
499,0
500,1
501,1
502,1
503,1
504,0
505,0
506,0
507,1
508,1
509,0
510,0
511,0
512,1
513,0
514,0
515,0
516,1
517,0
518,0
519,1
520,0
521,0
522,0
523,0
524,1
525,1
526,0
527,1
528,0
529,0
530,1
531,0
532,0
533,0
534,1
535,0
536,1
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,1
545,1
546,0
547,0
548,0
549,0
550,1
551,1
552,1
553,0
554,1
555,1
556,1
557,1
558,0
559,0
560,0
561,0
562,1
563,1
564,0
565,1
566,0
567,0
568,1
569,0
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,0
578,1
579,1
580,0
581,0
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,0
592,1
593,0
594,1
595,1
596,1
597,1
598,0
599,1
600,1
601,1
602,0
603,1
604,0
605,1
606,1
607,1
608,1
609,1
610,0
611,1
612,0
613,1
614,1
615,0
616,1
617,1
618,0
619,1
620,0
621,0
622,1
623,0
624,1
625,0
626,0
627,1
628,1
629,1
630,0
631,1
632,1
633,0
634,0
635,1
636,0
637,0
638,0
639,1
640,0
641,1
642,1
643,1
644,0
645,1
646,1
647,1
648,1
649,0
650,1
651,1
652,0
653,0
654,0
655,1
656,1
657,0
658,0
659,0
660,1
661,1
662,1
663,1
664,0
665,0
666,0
667,1
668,1
669,0
670,0
671,1
672,1
673,1
674,0
675,0
676,0
677,0
678,1
679,0
680,1
681,0
682,0
683,0
684,0
685,0
686,1
687,0
688,0
689,0
690,0
691,1
692,1
693,0
694,1
695,0
696,1
697,0
698,1
699,1
700,1
701,0
702,1
703,0
704,0
705,1
706,1
707,0
708,1
709,0
710,0
711,0
712,0
713,1
714,0
715,1
716,1
717,1
718,0
719,0
720,0
721,1
722,1
723,1
724,0
725,1
726,0
727,0
728,0
729,0
730,1
731,1
732,1
733,0
734,1
735,0
736,0
737,1
738,0
739,0
740,0
741,0
742,0
743,0
744,1
745,1
746,0
747,1
748,1
749,0
750,0
751,1
752,0
753,0
754,1
755,1
756,1
757,1
758,1
759,0
760,1
761,1
762,1
763,0
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,0
774,0
775,1
776,1
777,1
778,1
779,1
780,0
781,0
782,1
783,0
784,1
785,0
786,1
787,0
788,1
789,0
790,0
791,0
792,1
793,1
794,0
795,1
796,1
797,1
798,0
799,1
800,1
801,0
802,0
803,1
804,0
805,1
806,0
807,0
808,1
809,0
810,1
811,1
812,1
813,0
814,1
815,1
816,0
817,1
818,1
819,1
820,1
821,0
822,1
823,1
824,0
825,0
826,1
827,0
828,1
829,1
830,1
831,1
832,0
833,1
834,0
835,0
836,1
837,1
838,1
839,1
840,1
841,0
842,1
843,1
844,1
845,0
846,0
847,0
848,0
849,0
850,1
851,1
852,0
853,1
854,0
855,0
856,0
857,1
858,0
859,0
860,1
861,1
862,0
863,1
864,0
865,1
866,1
867,1
868,0
869,1
870,0
871,1
872,0
873,0
874,1
875,1
876,0
877,0
878,1
879,0
880,0
881,0
882,1
883,0
884,1
885,0
886,1
887,1
888,1
889,0
890,0
891,0
892,1
893,1
894,0
895,1
896,1
897,0
898,0
899,0
900,1
901,1
902,1
903,0
904,1
905,1
906,0
907,1
908,0
909,0
910,0
911,1
912,0
913,1
914,0
915,1
916,0
917,0
918,0
919,1
920,1
921,0
922,1
923,1
924,0
925,0
926,1
927,0
928,0
929,1
930,0
931,0
932,0
933,0
934,0
935,0
936,1
937,0
938,0
939,0
940,0
941,1
942,1
943,0
944,1
945,1
946,0
947,0
948,0
949,1
950,1
951,0
952,1
953,1
954,1
955,0
956,1
957,1
958,1
959,1
960,1
961,0
962,1
963,0
964,0
965,0
966,0
967,1
968,1
969,1
970,0
971,0
972,0
973,0
974,1
975,0
976,0
977,0
978,0
979,1
980,0
981,1
982,0
983,1
984,1
985,1
986,1
987,0
988,1
989,0
990,1
991,1
992,0
993,1
994,0
995,0
996,1
997,0
998,0
999,0
1000,1
1001,0
1002,0
1003,0
1004,1
1005,1
1006,1
1007,1
1008,0
1009,0
1010,0
1011,0
1012,1
1013,1
1014,0
1015,0
1016,1
1017,0
1018,1
1019,0
1020,1
1021,1
1022,0
1023,1
1024,0
1025,0
1026,1
1027,0
1028,1
1029,0
1030,1
1031,0
1032,0
1033,0
1034,0
1035,1
1036,0
1037,1
1038,1
1039,0
1040,1
1041,1
1042,0
1043,0
1044,1
1045,0
1046,1
1047,1
1048,0
1049,0
1050,0
1051,0
1052,1
1053,1
1054,1
1055,1
1056,1
1057,0
1058,1
1059,0
1060,0
